Calendar Year,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Governing Body,Year Range,Geolocation,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),Address,Latitude,Longitudes,HubExistance
2016,28858,Staines Memorial College,Redbank Plains,QLD,4301,Independent,Combined,School Single Entity,Individual Reporting,Christian Community Ministries Ltd,Prep-12,Major Cities,993,30,34,26,10,35,31.1,35,24.4,442,211,231,441.5,4,5,"Staines Memorial College, Redbank Plains, QLD, 4301","{'results': [{'address_components': [{'long_name': '227', 'short_name': '227', 'types': ['street_number']}, {'long_name': 'School Road', 'short_name': 'School Rd', 'types': ['route']}, {'long_name': 'Redbank Plains', 'short_name': 'Redbank Plains', 'types': ['locality', 'political']}, {'long_name': 'City of Ipswich', 'short_name': 'City of Ipswich', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Queensland', 'short_name': 'QLD', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '4301', 'short_name': '4301', 'types': ['postal_code']}], 'formatted_address': '227 School Rd, Redbank Plains QLD 4301, Australia', 'geometry': {'location': {'lat': -27.6687102, 'lng': 152.8507653}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -27.6673612197085, 'lng': 152.8521142802915}, 'southwest': {'lat': -27.6700591802915, 'lng': 152.8494163197085}}}, 'place_id': 'ChIJwYGi4ulKkWsRMmqYXEfkwc0', 'plus_code': {'compound_code': '8VJ2+G8 Redbank Plains, Queensland, Australia', 'global_code': '5R4J8VJ2+G8'}, 'types': ['establishment', 'point_of_interest', 'school']}], 'status': 'OK'}",152.8507653,y
2016,8571,Bass Hill Public School,Bass Hill,NSW,2197,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,P-6,Major Cities,923,62,25,11,2,27,31.5,5,4.1,354,168,186,354,3,82,"Bass Hill Public School, Bass Hill, NSW, 2197","{'results': [{'address_components': [{'long_name': '611', 'short_name': '611', 'types': ['street_number']}, {'long_name': 'Hume Highway', 'short_name': 'Hume Hwy', 'types': ['route']}, {'long_name': 'Bass Hill', 'short_name': 'Bass Hill', 'types': ['locality', 'political']}, {'long_name': 'Bankstown City Council', 'short_name': 'Bankstown', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2197', 'short_name': '2197', 'types': ['postal_code']}], 'formatted_address': '611 Hume Hwy, Bass Hill NSW 2197, Australia', 'geometry': {'location': {'lat': -33.9054413, 'lng': 151.0060266}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -33.9040923197085, 'lng': 151.0073755802915}, 'southwest': {'lat': -33.9067902802915, 'lng': 151.0046776197085}}}, 'place_id': 'ChIJH9Ob2zO8EmsRxm51KB0pT_0', 'plus_code': {'compound_code': '32V4+RC Bass Hill, New South Wales, Australia', 'global_code': '4RRH32V4+RC'}, 'types': ['establishment', 'point_of_interest', 'primary_school', 'school']}], 'status': 'OK'}",151.0060266,y
2016,8551,Bossley Park Public School,Bossley Park,NSW,2176,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,K-6,Major Cities,966,43,29,20,8,23,25.3,6,3.2,413,205,208,413,1,82,"Bossley Park Public School, Bossley Park, NSW, 2176","{'results': [{'address_components': [{'long_name': 'Marconi Road', 'short_name': 'Marconi Rd', 'types': ['route']}, {'long_name': 'Bossley Park', 'short_name': 'Bossley Park', 'types': ['locality', 'political']}, {'long_name': 'Fairfield City Council', 'short_name': 'Fairfield', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2176', 'short_name': '2176', 'types': ['postal_code']}], 'formatted_address': 'Marconi Rd, Bossley Park NSW 2176, Australia', 'geometry': {'location': {'lat': -33.8584374, 'lng': 150.8831078}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -33.8570884197085, 'lng': 150.8844567802915}, 'southwest': {'lat': -33.8597863802915, 'lng': 150.8817588197085}}}, 'place_id': 'ChIJgUSQUcKWEmsRRkSH9ixvNq0', 'plus_code': {'compound_code': '4VRM+J6 Bossley Park, New South Wales, Australia', 'global_code': '4RRG4VRM+J6'}, 'types': ['establishment', 'point_of_interest', 'primary_school', 'school']}, {'address_components': [{'long_name': '36-44', 'short_name': '36-44', 'types': ['street_number']}, {'long_name': 'Prairie Vale Road', 'short_name': 'Prairie Vale Rd', 'types': ['route']}, {'long_name': 'Bossley Park', 'short_name': 'Bossley Park', 'types': ['locality', 'political']}, {'long_name': 'Fairfield City Council', 'short_name': 'Fairfield', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2176', 'short_name': '2176', 'types': ['postal_code']}], 'formatted_address': '36-44 Prairie Vale Rd, Bossley Park NSW 2176, Australia', 'geometry': {'location': {'lat': -33.8709085, 'lng': 150.8750357}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -33.8695595197085, 'lng': 150.8763846802915}, 'southwest': {'lat': -33.87225748029149, 'lng': 150.8736867197085}}}, 'place_id': 'ChIJRU8tKbqWEmsRlxiKiknUcIE', 'plus_code': {'compound_code': '4VHG+J2 Bossley Park, New South Wales, Australia', 'global_code': '4RRG4VHG+J2'}, 'types': ['establishment', 'point_of_interest', 'school', 'secondary_school']}], 'status': 'OK'}",150.8831078,y
2016,8158,Fairfield West Public School,Fairfield West,NSW,2165,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,"U, K-6",Major Cities,936,55,27,15,4,39,47.7,9,10.5,732,358,374,732,1,90,"Fairfield West Public School, Fairfield West, NSW, 2165","{'results': [{'address_components': [{'long_name': 'Palmerston Road', 'short_name': 'Palmerston Rd', 'types': ['route']}, {'long_name': 'Fairfield West', 'short_name': 'Fairfield West', 'types': ['locality', 'political']}, {'long_name': 'Fairfield City Council', 'short_name': 'Fairfield', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2165', 'short_name': '2165', 'types': ['postal_code']}], 'formatted_address': 'Palmerston Rd, Fairfield West NSW 2165, Australia', 'geometry': {'location': {'lat': -33.8693072, 'lng': 150.9247308}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -33.86795821970851, 'lng': 150.9260797802915}, 'southwest': {'lat': -33.8706561802915, 'lng': 150.9233818197085}}}, 'place_id': 'ChIJf9fR4kWWEmsReJDylF4J47E', 'plus_code': {'compound_code': '4WJF+7V Fairfield West, New South Wales, Australia', 'global_code': '4RRG4WJF+7V'}, 'types': ['establishment', 'point_of_interest', 'primary_school', 'school']}], 'status': 'OK'}",150.9247308,y
2016,7793,Granville Public School,Granville,NSW,2142,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,"U, P-6",Major Cities,957,45,29,19,6,41,40.3,11,10.3,569,270,299,569,1,91,"Granville Public School, Granville, NSW, 2142","{'results': [{'address_components': [{'long_name': 'Lena Street', 'short_name': 'Lena St', 'types': ['route']}, {'long_name': 'Granville', 'short_name': 'Granville', 'types': ['locality', 'political']}, {'long_name': 'Cumberland Council', 'short_name': 'Cumberland Council', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2142', 'short_name': '2142', 'types': ['postal_code']}], 'formatted_address': 'Lena St, Granville NSW 2142, Australia', 'geometry': {'location': {'lat': -33.8349148, 'lng': 151.0049816}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -33.8335658197085, 'lng': 151.0063305802915}, 'southwest': {'lat': -33.8362637802915, 'lng': 151.0036326197085}}}, 'place_id': 'ChIJt4KEcSujEmsR239jYMJz_48', 'plus_code': {'compound_code': '5283+2X Granville, New South Wales, Australia', 'global_code': '4RRH5283+2X'}, 'types': ['establishment', 'point_of_interest', 'primary_school', 'school']}], 'status': 'OK'}",151.0049816,y
2016,8546,Hoxton Park Public School,Hoxton Park,NSW,2171,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,K-6,Major Cities,980,38,31,22,9,29,34.6,4,4.1,654,335,319,654,3,74,"Hoxton Park Public School, Hoxton Park, NSW, 2171","{'results': [{'address_components': [{'long_name': '99', 'short_name': '99', 'types': ['street_number']}, {'long_name': 'Pacific Palms Circuit', 'short_name': 'Pacific Palms Cct', 'types': ['route']}, {'long_name': 'Hoxton Park', 'short_name': 'Hoxton Park', 'types': ['locality', 'political']}, {'long_name': 'City of Liverpool', 'short_name': 'City of Liverpool', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2171', 'short_name': '2171', 'types': ['postal_code']}], 'formatted_address': '99 Pacific Palms Cct, Hoxton Park NSW 2171, Australia', 'geometry': {'location': {'lat': -33.9317044, 'lng': 150.848897}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -33.9303554197085, 'lng': 150.8502459802915}, 'southwest': {'lat': -33.9330533802915, 'lng': 150.8475480197085}}}, 'place_id': 'ChIJcfVUqX2TEmsR2DtSG1NrnPY', 'plus_code': {'compound_code': '3R9X+8H Hoxton Park, New South Wales, Australia', 'global_code': '4RRG3R9X+8H'}, 'types': ['establishment', 'point_of_interest', 'primary_school', 'school']}], 'status': 'OK'}",150.848897,y
2016,8154,Smithfield Public School,Smithfield,NSW,2164,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,"U, P-6",Major Cities,968,44,28,18,9,34,39.1,11,12.2,517,254,263,517,1,80,"Smithfield Public School, Smithfield, NSW, 2164","{'results': [{'address_components': [{'long_name': '8', 'short_name': '8', 'types': ['street_number']}, {'long_name': ""O'Connell Street"", 'short_name': ""O'Connell St"", 'types': ['route']}, {'long_name': 'Smithfield', 'short_name': 'Smithfield', 'types': ['locality', 'political']}, {'long_name': 'Fairfield City Council', 'short_name': 'Fairfield', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2164', 'short_name': '2164', 'types': ['postal_code']}], 'formatted_address': ""8 O'Connell St, Smithfield NSW 2164, Australia"", 'geometry': {'location': {'lat': -33.853898, 'lng': 150.9348033}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -33.8525490197085, 'lng': 150.9361522802915}, 'southwest': {'lat': -33.8552469802915, 'lng': 150.9334543197085}}}, 'place_id': 'ChIJbZe0yx-XEmsRHCk_l1GelvA', 'plus_code': {'compound_code': '4WWM+CW Smithfield, New South Wales, Australia', 'global_code': '4RRG4WWM+CW'}, 'types': ['establishment', 'point_of_interest', 'school']}], 'status': 'OK'}",150.9348033,y
2016,8149,Chester Hill Public School,Chester Hill,NSW,2162,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,K-6,Major Cities,938,56,26,14,4,37,39.2,3,4.3,657,324,333,657,1,88,"Chester Hill Public School, Chester Hill, NSW, 2162","{'results': [{'address_components': [{'long_name': 'Proctor Parade', 'short_name': 'Proctor Parade', 'types': ['route']}, {'long_name': 'Chester Hill', 'short_name': 'Chester Hill', 'types': ['locality', 'political']}, {'long_name': 'Bankstown City Council', 'short_name': 'Bankstown', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2162', 'short_name': '2162', 'types': ['postal_code']}], 'formatted_address': 'Proctor Parade, Chester Hill NSW 2162, Australia', 'geometry': {'location': {'lat': -33.8865362, 'lng': 151.0017083}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -33.88518721970851, 'lng': 151.0030572802915}, 'southwest': {'lat': -33.88788518029151, 'lng': 151.0003593197085}}}, 'place_id': 'ChIJcUbwulK8EmsRPJyojj7a-2U', 'plus_code': {'compound_code': '4272+9M Chester Hill, New South Wales, Australia', 'global_code': '4RRH4272+9M'}, 'types': ['establishment', 'point_of_interest', 'primary_school', 'school']}], 'status': 'OK'}",151.0017083,y
2016,8573,Yagoona Public School,Yagoona,NSW,2199,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,"U, K-6",Major Cities,981,41,30,20,9,38,39.7,9,9,530,243,287,530,0,96,"Yagoona Public School, Yagoona, NSW, 2199","{'results': [{'address_components': [{'long_name': '425', 'short_name': '425', 'types': ['street_number']}, {'long_name': 'Hume Highway', 'short_name': 'Hume Hwy', 'types': ['route']}, {'long_name': 'Yagoona', 'short_name': 'Yagoona', 'types': ['locality', 'political']}, {'long_name': 'Bankstown City Council', 'short_name': 'Bankstown', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2199', 'short_name': '2199', 'types': ['postal_code']}], 'formatted_address': '425 Hume Hwy, Yagoona NSW 2199, Australia', 'geometry': {'location': {'lat': -33.9080313, 'lng': 151.025801}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -33.90668231970849, 'lng': 151.0271499802915}, 'southwest': {'lat': -33.90938028029149, 'lng': 151.0244520197085}}}, 'place_id': 'ChIJoa8CNBS8EmsRttTxCR1brlw', 'plus_code': {'compound_code': '32RG+Q8 Yagoona, New South Wales, Australia', 'global_code': '4RRH32RG+Q8'}, 'types': ['establishment', 'point_of_interest', 'primary_school', 'school']}], 'status': 'OK'}",151.025801,y
2016,8151,Villawood East Public School,Villawood,NSW,2163,Government,Primary,School Single Entity,Individual Reporting,Department of Education NSW,"U, P-6",Major Cities,880,77,15,7,2,20,20.7,5,5.7,268,136,132,268,6,79,"Villawood East Public School, Villawood, NSW, 2163","{'results': [{'address_components': [{'long_name': 'Gundaroo Street', 'short_name': 'Gundaroo St', 'types': ['route']}, {'long_name': 'Villawood', 'short_name': 'Villawood', 'types': ['locality', 'political']}, {'long_name': 'Bankstown City Council', 'short_name': 'Bankstown', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2163', 'short_name': '2163', 'types': ['postal_code']}], 'formatted_address': 'Lowana Street &, Gundaroo St, Villawood NSW 2163, Australia', 'geometry': {'location': {'lat': -33.889705, 'lng': 150.9856206}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -33.8883560197085, 'lng': 150.9869695802915}, 'southwest': {'lat': -33.8910539802915, 'lng': 150.9842716197086}}}, 'place_id': 'ChIJHyOtNri9EmsRWXGc1KUqio4', 'plus_code': {'compound_code': '4X6P+46 Villawood, New South Wales, Australia', 'global_code': '4RRG4X6P+46'}, 'types': ['establishment', 'point_of_interest', 'primary_school', 'school']}], 'status': 'OK'}",150.9856206,y
