Calendar Year,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Governing Body,Year Range,Geolocation,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),Address,Longitudes,Lattitudes
2008,3,Corpus Christi Catholic School,Bellerive,TAS,7018,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,1055,13,19,37,31,29,19,12,6.9,410,185,225,410,1,4,"Corpus Christi Catholic School, Bellerive, TAS, 7018",147.3722692,-42.8709658
2008,4,Fahan School,Sandy Bay,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-12",Inner Regional,1130,1,8,12,79,34,31,23,14.6,347,339,8,347,1,1,"Fahan School, Sandy Bay, TAS, 7005",147.352238,-42.915853
2008,5,Geneva Christian College,Latrobe,TAS,7307,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-12",Outer Regional,1010,24,13,40,24,10,5.8,13,5,76,43,33,75.4,7,0,"Geneva Christian College, Latrobe, TAS, 7307",146.438394,-41.226756
2008,7,Holy Rosary Catholic School,Claremont,TAS,7011,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,954,61,31,8,0,12,12,13,5.8,329,144,185,329,2,0,"Holy Rosary Catholic School, Claremont, TAS, 7011",147.2475665,-42.7898152
2008,9,Immaculate Heart of Mary Catholic School,Lenah Valley,TAS,7008,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,1012,31,22,31,16,16,10.8,10,4,168,84,84,168,5,6,"Immaculate Heart of Mary Catholic School, Lenah Valley, TAS, 7008",147.2898291,-42.8655478
2008,10,John Calvin School,Launceston,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-10",Inner Regional,1043,11,29,46,14,13,7,4,2,61,30,31,61,0,0,"John Calvin School, Launceston, TAS, 7250",147.1442989,-41.447961
2008,11,Larmenier Catholic School,St Leonards,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,1019,15,38,31,16,19,13.4,0,0,192,85,107,192,2,,"Larmenier Catholic School, St Leonards, TAS, 7250",147.1967562,-41.4600755
2008,12,Launceston Church Grammar School,Mowbray,TAS,7248,Independent,Combined,School Head Campus,Rolled Reporting,Independent Schools Tasmania,"U, Prep-12",Inner Regional,1060,11,16,39,34,102,75.5,68,45,818,383,435,818,1,7,"Launceston Church Grammar School, Mowbray, TAS, 7248",147.128538,-41.408649
2008,13,St James Catholic College,Cygnet,TAS,7112,Catholic,Combined,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-10",Outer Regional,930,33,23,19,25,25,21.1,18,9.4,259,130,129,259,29,0,"St James Catholic College, Cygnet, TAS, 7112",147.0754621,-43.162555
2008,18,Our Lady of Lourdes Catholic School,Devonport,TAS,7310,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,1009,20,37,37,6,21,17.3,8,4,346,176,170,346,3,2,"Our Lady of Lourdes Catholic School, Devonport, TAS, 7310",146.3560919,-41.1799537
2008,19,Our Lady of Mercy Catholic School,Deloraine,TAS,7304,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Outer Regional,1032,7,29,47,16,11,7.6,8,3.2,118,61,57,118,2,0,"Our Lady of Mercy Catholic School, Deloraine, TAS, 7304",146.6492774,-41.5249608
2008,22,Sacred Heart Catholic School,Ulverstone,TAS,7315,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Outer Regional,1008,14,40,22,25,18,13.8,9,3.8,271,127,144,271,6,0,"Sacred Heart Catholic School, Ulverstone, TAS, 7315",146.1878243,-41.1556797
2008,23,Sacred Heart Catholic School,Geeveston,TAS,7116,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Outer Regional,989,15,28,52,5,17,10.9,11,3.7,163,81,82,163,11,0,"Sacred Heart Catholic School, Geeveston, TAS, 7116",146.9439762,-43.1647107
2008,26,St Anthony's Catholic School,Riverside,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,1069,4,17,45,35,16,10.6,10,4.4,210,104,106,210,4,3,"St Anthony's Catholic School, Riverside, TAS, 7250",147.09596,-41.406903
2008,27,St Peter Chanel Catholic School,Smithton,TAS,7330,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Outer Regional,931,38,47,12,2,10,7.5,9,4.1,94,46,48,94,15,0,"St Peter Chanel Catholic School, Smithton, TAS, 7330",145.1323648,-40.8462006
2008,29,St Brigid's Catholic School,New Norfolk,TAS,7140,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,962,46,44,10,0,16,10,11,4.2,190,102,88,190,1,0,"St Brigid's Catholic School, New Norfolk, TAS, 7140",147.05587,-42.780377
2008,30,St Brigid's Catholic School,Wynyard,TAS,7325,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Outer Regional,980,24,32,16,28,13,10.3,8,3.1,184,95,89,184,9,0,"St Brigid's Catholic School, Wynyard, TAS, 7325",145.7274809,-40.987986
2008,31,St Cuthbert's Catholic School,Lindisfarne,TAS,7015,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,1028,15,33,33,19,16,11.1,10,3.1,205,91,114,205,3,,"St Cuthbert's Catholic School, Lindisfarne, TAS, 7015",147.3555208,-42.8433068
2008,36,St John's Catholic School,Richmond,TAS,7025,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Outer Regional,1025,16,30,40,14,14,12.1,12,5.1,259,130,129,259,2,0,"St John's Catholic School, Richmond, TAS, 7025",147.4411327,-42.73139132
2008,38,St Joseph's Catholic School,Rosebery,TAS,7470,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Remote,906,78,22,0,0,12,6.5,7,2.4,88,48,40,88,16,0,"St Joseph's Catholic School, Rosebery, TAS, 7470",145.5433397,-41.7799249
2008,39,St Joseph's Catholic School,Queenstown,TAS,7467,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Remote,951,89,11,0,0,9,7.2,5,2.4,110,52,58,110,5,5,"St Joseph's Catholic School, Queenstown, TAS, 7467",145.5594831,-42.8819763
2008,40,St Mary's College,Hobart,TAS,7000,Catholic,Combined,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-12",Inner Regional,1051,17,25,30,28,67,54.1,24,18.9,774,732,42,774,2,6,"St Mary's College, Hobart, TAS, 7000",147.3198351,-41.2355163
2008,45,St Patrick's Catholic School,Latrobe,TAS,7307,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Outer Regional,983,34,18,39,8,12,8.2,16,10,132,71,61,132,8,0,"St Patrick's Catholic School, Latrobe, TAS, 7307",146.4184202,-42.8471485
2008,47,St Therese's Catholic School,Moonah,TAS,7009,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,982,46,40,11,3,16,10.7,12,4.8,207,100,107,207,3,,"St Therese's Catholic School, Moonah, TAS, 7009",147.2914292,-42.854002
2008,55,Hilliard Christian School,West Moonah,TAS,7009,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-10",Inner Regional,972,54,28,15,4,14,13.2,13,7.2,121,56,65,120.2,3,24,"Hilliard Christian School, West Moonah, TAS, 7009",147.2869211,-42.85265302
2008,56,Star of the Sea Catholic College,George Town,TAS,7253,Catholic,Combined,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-10",Outer Regional,951,67,18,12,4,19,17,12,6.4,240,127,113,240,2,0,"Star of the Sea Catholic College, George Town, TAS, 7253",146.8290569,-41.1077136
2008,58,Stella Maris Catholic School,Burnie,TAS,7320,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Outer Regional,1017,22,27,31,19,27,21.4,14,7.1,431,226,205,431,3,15,"Stella Maris Catholic School, Burnie, TAS, 7320",145.8877646,-41.0510218
2008,59,The Friends' School,North Hobart,TAS,7000,Independent,Combined,School Head Campus,Rolled Reporting,Independent Schools Tasmania,"U, Prep-12",Inner Regional,1114,4,11,26,60,145,116.5,70,54.5,1246,615,631,1246,1,10,"The Friends' School, North Hobart, TAS, 7000",147.3132938,-42.8691439
2008,60,The Hutchins School,Sandy Bay,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-12",Inner Regional,1123,3,6,19,72,91,86.3,38,32.3,1006,0,1006,1006,1,7,"The Hutchins School, Sandy Bay, TAS, 7005",147.3294957,-42.9058629
2008,2261,The Cottage School,Bellerive,TAS,7018,Independent,Primary,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-6",Inner Regional,1069,6,29,29,37,8,4.1,4,2.8,66,32,34,66,0,13,"The Cottage School, Bellerive, TAS, 7018",147.3674818,-42.875447
2008,2801,Launceston Christian School,Riverside,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-12",Inner Regional,1042,11,16,38,35,45,41,24,14.6,518,272,246,517.6,2,7,"Launceston Christian School, Riverside, TAS, 7250",147.0900733,-41.4018284
2008,2802,Leighland Christian School,Ulverstone,TAS,7315,Independent,Combined,School Head Campus,Rolled Reporting,Independent Schools Tasmania,"U, Prep-12",Outer Regional,995,24,33,28,16,55,45.1,34,13.3,551,262,289,550.6,6,1,"Leighland Christian School, Ulverstone, TAS, 7315",146.194932,-41.153357
2008,2803,North West Christian School,Penguin,TAS,7316,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-10",Outer Regional,994,29,26,21,25,10,7.6,11,3.5,88,47,41,87.6,10,3,"North West Christian School, Penguin, TAS, 7316",146.0798921,-41.1229364
2008,2805,St Michael's Collegiate School,Hobart,TAS,7000,Independent,Combined,School Head Campus,Rolled Reporting,Independent Schools Tasmania,"U, Prep-12",Inner Regional,1103,6,10,25,59,82,70,37,30.4,741,740,1,741,1,8,"St Michael's Collegiate School, Hobart, TAS, 7000",147.3235122,-42.8887873
2008,2809,Scotch Oakburn College,Newstead,TAS,7250,Independent,Combined,School Head Campus,Rolled Reporting,Independent Schools Tasmania,"U, Prep-12",Inner Regional,1077,4,12,45,40,105,84.1,77,47.3,986,486,500,986,1,4,"Scotch Oakburn College, Newstead, TAS, 7250",147.1690001,-41.449276
2008,2816,John Paul II Catholic School,Clarendon Vale,TAS,7019,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,957,57,6,28,9,10,7.1,8,3.8,123,65,58,123,4,,"John Paul II Catholic School, Clarendon Vale, TAS, 7019",147.4458926,-42.8947943
2008,2818,The Launceston Preparatory School,Launceston,TAS,7250,Independent,Primary,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-6",Inner Regional,1089,1,12,36,52,14,9.9,7,2.4,111,53,58,111,1,0,"The Launceston Preparatory School, Launceston, TAS, 7250",147.1580293,-41.4372435
2008,2819,Eastside Lutheran College,Warrane,TAS,7018,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-10",Inner Regional,1026,34,19,19,28,8,7.1,4,2.3,80,41,39,80,0,0,"Eastside Lutheran College, Warrane, TAS, 7018",147.3847193,-42.8519927
2008,4213,St Thomas More's Catholic School,Newstead,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,1032,12,19,47,22,13,9.6,12,5.5,193,101,92,193,3,0,"St Thomas More's Catholic School, Newstead, TAS, 7250",147.1562004,-41.4453757
2008,4505,St Paul's Catholic School,Bridgewater,TAS,7030,Catholic,Primary,School Single Entity,Individual Reporting,Tasmanian Catholic Education Office,"U, Prep-6",Inner Regional,868,77,16,8,0,11,8.9,9,3.9,165,80,85,165,7,0,"St Paul's Catholic School, Bridgewater, TAS, 7030",147.2477402,-42.7374461
2008,5272,Circular Head Christian School,Smithton,TAS,7330,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-12",Outer Regional,927,39,39,11,11,31,26.2,21,14.4,357,177,180,356,11,2,"Circular Head Christian School, Smithton, TAS, 7330",145.1185478,-40.8495891
2008,5918,Southern Christian College,Kingston,TAS,7050,Independent,Combined,School Single Entity,Individual Reporting,Independent Schools Tasmania,"U, Prep-10",Inner Regional,1003,44,26,9,21,11,8,7,4.2,100,47,53,100,4,6,"Southern Christian College, Kingston, TAS, 7050",147.308621,-42.9904281
2008,6592,Brooks High School,Rocherlea,TAS,7248,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Dec,Inner Regional,898,68,24,5,3,55,51.6,34,26.2,658,306,352,654.6,9,3,"Brooks High School, Rocherlea, TAS, 7248",147.12058,-41.378352
2008,6593,Flinders Island District High School,Whitemark,TAS,7255,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-11,Very Remote,934,37,37,26,0,11,9.5,15,8.6,99,42,57,94,26,0,"Flinders Island District High School, Whitemark, TAS, 7255",148.03527,-40.1119867
2008,6595,Lilydale District School,Lilydale,TAS,7268,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Outer Regional,994,26,33,40,1,37,32.9,20,13.4,449,221,228,430.2,4,1,"Lilydale District School, Lilydale, TAS, 7268",147.2137404,-41.2519203
2008,6596,Ravenswood Heights Primary School,Ravenswood,TAS,7250,Government,Primary,School Single Entity,Individual Reporting,Department of Education Tasmania,K-6,Inner Regional,820,97,1,1,0,29,26.2,22,13.1,330,172,158,304.5,12,0,"Ravenswood Heights Primary School, Ravenswood, TAS, 7250",147.1774807,-41.4154545
2008,6597,Scottsdale High School,Scottsdale,TAS,7260,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Dec,Outer Regional,1015,7,42,40,12,35,30.9,19,15,384,199,185,377,2,2,"Scottsdale High School, Scottsdale, TAS, 7260",147.509643,-41.154579
2008,6600,Parklands High School,Romaine,TAS,7320,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Outer Regional,909,49,44,3,4,39,36.6,22,17.1,429,221,208,429,15,1,"Parklands High School, Romaine, TAS, 7320",145.901732,-41.079961
2008,6601,Reece High School,Devonport,TAS,7310,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Inner Regional,960,39,36,23,3,55,50,31,22.5,671,336,335,670.5,7,0,"Reece High School, Devonport, TAS, 7310",146.3496926,-41.1891747
2008,6602,Ulverstone High School,Ulverstone,TAS,7315,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Outer Regional,975,21,42,20,17,46,43.8,23,18.6,596,269,327,595.8,11,2,"Ulverstone High School, Ulverstone, TAS, 7315",146.1708234,-41.1632595
2008,6603,Wynyard High School,Wynyard,TAS,7325,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Outer Regional,949,33,35,9,23,30,28.4,22,15.6,373,196,177,372,14,1,"Wynyard High School, Wynyard, TAS, 7325",145.717643,-40.986274
2008,6604,Cosgrove High School,Glenorchy,TAS,7010,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Inner Regional,900,76,17,5,2,26,22.8,20,14.5,254,115,139,253,17,5,"Cosgrove High School, Glenorchy, TAS, 7010",147.283331,-42.835369
2008,6608,Dover District School,Dover,TAS,7117,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Outer Regional,943,0,55,35,10,14,11.6,9,6.2,126,60,66,120.5,24,0,"Dover District School, Dover, TAS, 7117",147.0131409,-43.3105488
2008,6609,Geeveston Primary School,Geeveston,TAS,7116,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Outer Regional,931,40,26,30,3,17,13.8,12,8.3,163,78,85,156.5,22,2,"Geeveston Primary School, Geeveston, TAS, 7116",146.9217502,-43.1628103
2008,6610,Huonville High School,Huonville,TAS,7109,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Outer Regional,953,29,29,31,12,35,32.2,23,16.6,435,188,247,434.6,18,2,"Huonville High School, Huonville, TAS, 7109",147.0455647,-43.024204
2008,6611,Bayview Secondary College,Rokeby,TAS,7019,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Inner Regional,874,73,3,18,7,15,13.8,17,12.4,196,85,111,196,16,1,"Bayview Secondary College, Rokeby, TAS, 7019",147.445439,-42.896909
2008,6614,Bothwell District High School,Bothwell,TAS,7030,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-10,Outer Regional,966,58,13,26,3,10,9.6,12,5,92,42,50,87,8,0,"Bothwell District High School, Bothwell, TAS, 7030",147.015737,-42.383131
2008,6615,Deloraine High School,Deloraine,TAS,7304,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Dec,Outer Regional,1012,17,25,30,28,29,23.7,15,12.4,285,136,149,279.7,8,0,"Deloraine High School, Deloraine, TAS, 7304",146.660133,-41.529746
2008,6616,Glenora District School,Glenora,TAS,7140,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Outer Regional,971,13,56,27,4,18,16.7,12,9.4,202,96,106,194.9,9,1,"Glenora District School, Glenora, TAS, 7140",146.8894488,-42.6969011
2008,6618,New Norfolk High School,New Norfolk,TAS,7140,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Inner Regional,921,56,35,8,0,28,26.8,23,18.6,361,178,183,361,12,1,"New Norfolk High School, New Norfolk, TAS, 7140",147.06123,-42.788541
2008,6619,Oatlands District High School,Oatlands,TAS,7120,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-10,Outer Regional,979,28,9,51,11,26,23.7,21,13.6,318,155,163,305.5,7,1,"Oatlands District High School, Oatlands, TAS, 7120",147.3714896,-42.3010861
2008,6620,Ouse District School,Ouse,TAS,7140,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Outer Regional,949,40,19,6,34,8,8.2,7,5.6,74,46,28,69.2,15,7,"Ouse District School, Ouse, TAS, 7140",146.70755,-42.482174
2008,6621,Rosebery District High School,Rosebery,TAS,7470,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Remote,913,83,17,0,1,16,15.4,15,10.3,160,76,84,156.3,14,0,"Rosebery District High School, Rosebery, TAS, 7470",145.5415521,-41.7810998
2008,6622,St Helens District High School,St Helens,TAS,7216,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Outer Regional,990,19,29,44,7,55,47.5,30,19.7,618,315,303,592.5,9,2,"St Helens District High School, St Helens, TAS, 7216",148.246505,-41.323779
2008,6623,St Marys District School,St Marys,TAS,7215,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Outer Regional,986,41,27,22,10,34,29,24,15.2,376,189,187,355.7,6,1,"St Marys District School, St Marys, TAS, 7215",148.1893969,-41.584826
2008,6624,Triabunna District School,Triabunna,TAS,7190,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Outer Regional,928,63,23,3,11,18,17.1,14,7.9,187,80,107,176.4,14,0,"Triabunna District School, Triabunna, TAS, 7190",147.910817,-42.508038
2008,6777,Burnie High School,Cooee,TAS,7320,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Outer Regional,976,34,29,25,12,43,40.7,27,20.7,547,263,284,546.2,7,3,"Burnie High School, Cooee, TAS, 7320",145.8681064,-41.0429908
2008,6778,Campbell Town District High School,Campbell Town,TAS,7210,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-10,Outer Regional,980,24,50,20,7,19,17,14,9,235,108,127,223.5,9,0,"Campbell Town District High School, Campbell Town, TAS, 7210",147.4910833,-41.9256725
2008,6779,Cressy District High School,Cressy,TAS,7302,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-10,Outer Regional,956,57,8,14,21,27,22.9,18,13,324,144,180,315,8,1,"Cressy District High School, Cressy, TAS, 7302",147.078772,-41.690834
2008,6780,Dunalley Primary School,Dunalley,TAS,7177,Government,Primary,School Single Entity,Individual Reporting,Department of Education Tasmania,K-6,Outer Regional,1038,3,28,31,38,10,6.7,9,5.5,110,58,52,105.1,1,4,"Dunalley Primary School, Dunalley, TAS, 7177",147.812114,-42.8857841
2008,6781,Exeter High School,Exeter,TAS,7275,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Outer Regional,1019,18,19,48,15,36,33.3,21,16.9,372,179,193,370,2,1,"Exeter High School, Exeter, TAS, 7275",146.9571415,-41.2993499
2008,6783,King Island District High School,Currie,TAS,7256,Government,Combined,School Single Entity,Individual Reporting,Department of Education Tasmania,K-12,Very Remote,1035,1,47,45,7,24,20.8,15,11.7,202,100,102,196.5,4,1,"King Island District High School, Currie, TAS, 7256",143.855855,-39.926527
2008,6784,Kingston High School,Kingston,TAS,7050,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Inner Regional,1048,7,22,30,41,51,47.5,32,23.5,623,272,351,622.4,6,6,"Kingston High School, Kingston, TAS, 7050",147.2878401,-42.9706585
2008,6785,Kings Meadows High School,Kings Meadows,TAS,7249,Government,Secondary,School Single Entity,Individual Reporting,Department of Education Tasmania,7-Oct,Inner Regional,986,30,40,19,11,44,39.8,20,16.6,528,249,279,526.2,5,1,"Kings Meadows High School, Kings Meadows, TAS, 7249",147.1592431,-41.473751
