,School Name,Suburb,State,Postcode,ICSEA,Teaching Staff,Indigenous Enrolments (%),Language Background Other Than English (%),School Sector_cat,School Type_cat,Geolocation_cat,SEA50%,CLUSTER
0,Corpus Christi Catholic School,Bellerive,TAS,7018,1080.0,29,2,3,0,1,0,31,1.0
1,Fahan School,Sandy Bay,TAS,7005,1135.0,41,1,7,2,0,0,13,6.0
2,Geneva Christian College,Latrobe,TAS,7307,976.0,23,6,5,2,0,2,72,0.0
3,Holy Rosary Catholic School,Claremont,TAS,7011,981.0,28,5,1,0,1,0,73,0.0
4,Immaculate Heart of Mary Catholic School,Lenah Valley,TAS,7008,1015.0,15,11,15,0,1,0,53,1.0
5,John Calvin School,Launceston,TAS,7250,1053.0,12,0,1,2,0,0,43,1.0
6,Larmenier Catholic School,St Leonards,TAS,7250,985.0,13,5,3,0,1,0,69,1.0
7,Launceston Church Grammar School,Mowbray,TAS,7248,1111.0,91,2,7,2,0,0,20,6.0
8,St James Catholic College,Cygnet,TAS,7112,889.0,28,34,0,0,0,2,85,4.0
9,Our Lady of Lourdes Catholic School,Devonport,TAS,7310,1025.0,27,9,3,0,1,0,48,1.0
10,Our Lady of Mercy Catholic School,Deloraine,TAS,7304,964.0,11,7,4,0,1,2,72,0.0
11,Sacred Heart Catholic School,Ulverstone,TAS,7315,1006.0,19,13,2,0,1,2,53,1.0
12,Sacred Heart Catholic School,Geeveston,TAS,7116,962.0,16,18,1,0,1,2,71,0.0
13,St Anthony's Catholic School,Riverside,TAS,7250,1016.0,14,6,3,0,1,0,54,1.0
14,St Peter Chanel Catholic School,Smithton,TAS,7330,878.0,12,45,0,0,1,2,84,4.0
15,St Brigid's Catholic School,New Norfolk,TAS,7140,989.0,15,6,2,0,1,0,69,1.0
16,St Brigid's Catholic School,Wynyard,TAS,7325,962.0,15,15,0,0,1,2,70,0.0
17,St Cuthbert's Catholic School,Lindisfarne,TAS,7015,1014.0,18,5,4,0,1,0,56,1.0
18,St John's Catholic School,Richmond,TAS,7025,1039.0,25,4,0,0,1,2,45,1.0
19,St Joseph's Catholic School,Rosebery,TAS,7470,986.0,8,12,11,0,1,3,61,1.0
20,St Joseph's Catholic School,Queenstown,TAS,7467,945.0,9,9,0,0,1,3,81,0.0
21,St Mary's College,Hobart,TAS,7000,1062.0,93,1,6,0,0,0,35,2.0
22,St Patrick's Catholic School,Latrobe,TAS,7307,1003.0,18,3,4,0,1,2,62,1.0
23,St Therese's Catholic School,Moonah,TAS,7009,1018.0,17,4,7,0,1,0,52,1.0
24,Hilliard Christian School,West Moonah,TAS,7009,923.0,13,8,29,2,0,0,82,4.0
25,Star of the Sea Catholic College,George Town,TAS,7253,941.0,19,4,2,0,0,2,85,4.0
26,Stella Maris Catholic School,Burnie,TAS,7320,1026.0,25,7,7,0,1,2,49,1.0
27,The Friends' School,North Hobart,TAS,7000,1139.0,153,1,11,2,0,0,10,2.0
28,The Hutchins School,Sandy Bay,TAS,7005,1135.0,110,1,8,2,0,0,12,2.0
29,The Cottage School,Bellerive,TAS,7018,1122.0,11,2,26,2,1,0,12,6.0
30,Launceston Christian School,Riverside,TAS,7250,1059.0,55,1,10,2,0,0,39,2.0
31,Leighland Christian School,Ulverstone,TAS,7315,986.0,51,9,3,2,0,2,65,1.0
32,North West Christian School,Penguin,TAS,7316,893.0,8,20,0,2,0,2,85,4.0
33,St Michael's Collegiate School,Hobart,TAS,7000,1140.0,73,2,8,2,0,0,12,6.0
34,Scotch Oakburn College,Newstead,TAS,7250,1113.0,116,1,6,2,0,0,18,2.0
35,John Paul II Catholic School,Clarendon Vale,TAS,7019,938.0,14,14,5,0,1,0,78,4.0
36,The Launceston Preparatory School,Launceston,TAS,7250,1125.0,11,3,1,2,1,0,19,6.0
37,Eastside Lutheran College,Warrane,TAS,7018,959.0,29,13,1,2,0,0,70,0.0
